player_id,player,recent_team,week,completions,attempts,passing_yards,passing_tds,interception,position,season,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,team,player_name,player_display_name,fantasy_points_ppr,fantasy_points,points
00-0030565,G.Smith,LV,5,25.0,40.0,228.0,0.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,9.12,9.12,9.12
00-0030565,G.Smith,LV,6,17.0,25.0,174.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,10.96,10.96,10.96
00-0030565,G.Smith,LV,7,10.0,17.0,67.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,2.6799998,2.6799998,2.6799998
00-0030565,G.Smith,LV,9,29.0,42.0,284.0,4.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,27.36,27.36,27.36
00-0030565,G.Smith,LV,10,16.0,32.0,143.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,5.72,5.72,5.72
00-0030565,G.Smith,LV,11,27.0,46.0,238.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,13.5199995,13.5199995,13.5199995
00-0030565,G.Smith,LV,12,30.0,54.0,285.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LV,G.Smith,G.Smith,15.4,15.4,15.4
00-0031237,T.Bridgewater,TB,12,8.0,17.0,62.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TB,T.Bridgewater,T.Bridgewater,2.48,2.48,2.48
00-0031503,J.Winston,NYG,11,19.0,31.0,201.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,J.Winston,J.Winston,8.04,8.04,8.04
00-0031503,J.Winston,NYG,12,18.0,37.0,366.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NYG,J.Winston,J.Winston,22.64,22.64,22.64
00-0032268,M.Mariota,WAS,3,15.0,21.0,207.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,M.Mariota,M.Mariota,12.28,12.28,12.28
00-0032268,M.Mariota,WAS,4,16.0,29.0,156.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,M.Mariota,M.Mariota,14.24,14.24,14.24
00-0032268,M.Mariota,WAS,7,4.0,12.0,63.0,0.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,M.Mariota,M.Mariota,2.52,2.52,2.52
00-0032268,M.Mariota,WAS,8,21.0,32.0,213.0,1.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,M.Mariota,M.Mariota,12.5199995,12.5199995,12.5199995
00-0032268,M.Mariota,WAS,10,16.0,25.0,213.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,M.Mariota,M.Mariota,16.52,16.52,16.52
00-0032268,M.Mariota,WAS,11,20.0,31.0,213.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WAS,M.Mariota,M.Mariota,12.5199995,12.5199995,12.5199995
00-0032764,D.Henry,BAL,3,0.0,1.0,0.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BAL,D.Henry,D.Henry,0.0,0.0,0.0
00-0032950,C.Wentz,MIN,3,14.0,23.0,173.0,2.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,C.Wentz,C.Wentz,14.92,14.92,14.92
00-0032950,C.Wentz,MIN,4,30.0,52.0,350.0,2.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,C.Wentz,C.Wentz,22.0,22.0,22.0
00-0032950,C.Wentz,MIN,5,25.0,37.0,236.0,1.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,C.Wentz,C.Wentz,13.44,13.44,13.44
00-0032950,C.Wentz,MIN,7,26.0,44.0,313.0,0.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,C.Wentz,C.Wentz,12.5199995,12.5199995,12.5199995
00-0032950,C.Wentz,MIN,8,15.0,32.0,144.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MIN,C.Wentz,C.Wentz,9.76,9.76,9.76
00-0033077,D.Prescott,DAL,1,21.0,33.0,188.0,0.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,7.52,7.52,7.52
00-0033077,D.Prescott,DAL,2,38.0,55.0,361.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,22.439999,22.439999,22.439999
00-0033077,D.Prescott,DAL,3,31.0,43.0,251.0,1.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,14.04,14.04,14.04
00-0033077,D.Prescott,DAL,4,31.0,41.0,319.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,24.759998,24.759998,24.759998
00-0033077,D.Prescott,DAL,5,18.0,30.0,237.0,4.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,25.48,25.48,25.48
00-0033077,D.Prescott,DAL,6,25.0,34.0,261.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,22.439999,22.439999,22.439999
00-0033077,D.Prescott,DAL,7,21.0,31.0,264.0,3.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,22.56,22.56,22.56
00-0033077,D.Prescott,DAL,8,19.0,33.0,188.0,0.0,2.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,7.52,7.52,7.52
00-0033077,D.Prescott,DAL,9,24.0,43.0,250.0,1.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,14.0,14.0,14.0
00-0033077,D.Prescott,DAL,11,25.0,34.0,268.0,4.0,0.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,26.72,26.72,26.72
00-0033077,D.Prescott,DAL,12,23.0,36.0,354.0,2.0,1.0,QB,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DAL,D.Prescott,D.Prescott,22.16,22.16,22.16
