"season","week","team","season_type","opponent_team","completions","attempts","passing_yards","passing_tds","passing_interceptions","sacks_suffered","sack_yards_lost","sack_fumbles","sack_fumbles_lost","passing_air_yards","passing_yards_after_catch","passing_first_downs","passing_epa","passing_cpoe","passing_2pt_conversions","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_epa","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_epa","receiving_2pt_conversions","special_teams_tds","def_tackles_solo","def_tackles_with_assist","def_tackle_assists","def_tackles_for_loss","def_tackles_for_loss_yards","def_fumbles_forced","def_sacks","def_sack_yards","def_qb_hits","def_interceptions","def_interception_yards","def_pass_defended","def_tds","def_fumbles","def_safeties","misc_yards","fumble_recovery_own","fumble_recovery_yards_own","fumble_recovery_opp","fumble_recovery_yards_opp","fumble_recovery_tds","penalties","penalty_yards","timeouts","punt_returns","punt_return_yards","kickoff_returns","kickoff_return_yards","fg_made","fg_att","fg_missed","fg_blocked","fg_long","fg_pct","fg_made_0_19","fg_made_20_29","fg_made_30_39","fg_made_40_49","fg_made_50_59","fg_made_60_","fg_missed_0_19","fg_missed_20_29","fg_missed_30_39","fg_missed_40_49","fg_missed_50_59","fg_missed_60_","fg_made_list","fg_missed_list","fg_blocked_list","fg_made_distance","fg_missed_distance","fg_blocked_distance","pat_made","pat_att","pat_missed","pat_blocked","pat_pct","gwfg_made","gwfg_att","gwfg_missed","gwfg_blocked","gwfg_distance"
2024,1,"NYG","REG","MIN",22,42,186,0,2,5,-20,0,0,216,83,8,-22.5938377229591,-10.6561558027017,0,21,74,0,0,0,6,-1.69863276026445,0,22,38,186,0,0,0,216,83,8,-15.0521673561378,0,0,37,3,9,4,14,1,1,7,2,1,1,4,0,1,0,0,1,1,1,1,0,9,95,4,1,0,1,22,2,2,0,0,50,1,0,1,0,0,1,0,0,0,0,0,0,0,"23;50",NA,NA,73,0,0,0,0,0,0,NA,0,0,0,0,0
2024,1,"NYJ","REG","SF",19,29,203,2,1,1,-5,0,0,195,117,11,5.52181935061538,-2.06680611289781,0,19,68,1,0,0,3,-3.03692353899521,0,19,29,203,2,1,1,195,117,11,2.19698253595573,0,0,45,6,20,3,12,0,3,10,4,0,0,4,0,0,0,0,0,0,0,0,0,3,10,3,1,4,3,77,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,1,1,0,0,1,0,0,0,0,0
2024,1,"PHI","REG","GB",20,34,278,2,2,2,-12,0,0,237,170,14,11.1771720949667,1.24347816253531,0,38,144,2,2,1,10,-6.5859777553113,0,20,29,278,2,0,0,237,170,14,17.3334945836104,0,0,24,7,25,4,7,1,2,9,5,1,1,4,0,0,0,0,1,3,0,0,0,7,57,6,0,0,2,38,2,2,0,0,38,1,0,1,1,0,0,0,0,0,0,0,0,0,"38;21",NA,NA,59,0,0,4,4,0,0,1,0,0,0,0,0
2024,1,"PIT","REG","ATL",17,23,156,0,0,2,-23,0,0,128,54,6,-1.35227671348093,4.85553958199241,0,41,137,0,1,0,10,-5.23416112184107,0,17,22,156,0,0,0,128,54,6,3.54784025798017,0,0,30,5,19,3,21,0,2,18,7,2,49,5,0,0,0,0,1,1,1,1,0,9,60,4,4,47,0,0,6,6,0,0,57,1,0,1,0,2,3,0,0,0,0,0,0,0,"57;51;44;56;40;25",NA,NA,273,0,0,0,0,0,0,NA,0,0,0,0,0
2024,1,"SEA","REG","DEN",18,25,171,1,1,2,-13,0,0,167,67,11,-5.73969622205013,5.26454102993011,0,33,146,2,0,0,7,1.10617490700679,0,18,25,171,1,0,0,167,67,11,-3.37389096749948,0,0,50,6,16,6,18,2,2,6,8,2,4,6,0,1,0,0,0,0,1,1,0,6,41,4,1,0,3,74,2,2,0,0,50,1,0,1,0,0,1,0,0,0,0,0,0,0,"50;28",NA,NA,78,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"SF","REG","NYJ",19,29,231,0,0,3,-10,0,0,282,65,12,4.41156742568265,1.2239474674751,0,38,180,2,0,0,12,2.52977415773785,0,19,29,231,0,0,0,282,65,12,8.86342306088382,0,0,32,1,13,1,5,1,1,5,4,1,0,4,0,0,0,0,0,0,1,1,0,4,40,4,2,15,0,0,6,6,0,0,53,1,0,1,1,2,2,0,0,0,0,0,0,0,"46;51;31;53;23;42",NA,NA,246,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"TB","REG","WAS",24,30,289,4,0,1,-9,0,0,140,187,15,20.5917650508429,12.6760640740395,0,30,112,0,0,0,4,-6.82562743537247,0,24,30,289,4,0,0,140,187,15,23.164182658141,0,0,32,2,24,3,24,2,2,23,2,0,0,2,0,0,0,0,0,0,0,0,0,7,46,1,1,15,1,22,3,3,0,0,56,1,0,1,1,0,1,0,0,0,0,0,0,0,"56;34;29",NA,NA,119,0,0,4,4,0,0,1,0,0,0,0,0
2024,1,"TEN","REG","CHI",19,32,127,1,2,3,-23,1,1,225,50,6,-18.1711794079763,4.88122100079501,0,26,140,1,0,0,9,2.05835585555178,0,19,27,127,1,0,0,225,50,6,1.21847585804062,0,0,31,6,18,8,43,1,2,29,4,0,0,5,0,0,0,0,0,0,1,1,0,8,50,4,4,30,5,127,1,1,0,0,40,1,0,0,0,1,0,0,0,0,0,0,0,0,"40",NA,NA,40,0,0,2,2,0,0,1,0,0,0,0,0
2024,1,"WAS","REG","TB",17,24,184,0,0,2,-23,1,0,125,154,7,-1.73887948181627,-3.1831497947375,0,30,138,3,2,0,13,8.49417748983251,0,17,24,184,0,0,0,125,154,7,2.19090977367332,0,0,37,4,20,8,31,0,1,9,4,0,0,2,0,0,0,0,1,2,0,0,0,7,51,4,0,0,2,48,0,2,2,0,NA,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,"47;56",NA,0,103,0,2,2,0,0,1,0,0,0,0,0
2024,2,"ARI","REG","LA",17,21,266,3,0,1,-8,0,0,214,101,9,18.1010885911674,17.5470604783013,0,40,231,1,2,1,15,3.40235565999062,0,17,21,266,3,0,0,214,101,9,19.8740912974027,0,0,30,6,24,12,33,1,5,24,9,0,0,2,0,0,0,0,1,1,1,1,1,5,52,0,2,30,0,0,2,2,0,0,57,1,0,0,0,1,1,0,0,0,0,0,0,0,"48;57",NA,NA,105,0,0,5,5,0,0,1,0,0,0,0,0
2024,2,"ATL","REG","PHI",20,29,241,2,0,1,-8,0,0,235,101,11,9.08310133978105,2.91283860288817,0,28,152,0,1,0,10,-0.435873287615788,0,20,29,241,2,0,0,235,101,11,10.7078605641813,0,0,43,5,29,4,12,0,1,4,5,1,0,5,0,0,0,0,1,2,0,0,0,3,40,6,1,11,1,22,3,3,0,0,39,1,0,1,2,0,0,0,0,0,0,0,0,0,"39;22;34",NA,NA,95,0,0,1,1,0,0,1,0,0,0,0,0
2024,2,"BAL","REG","LV",21,34,247,1,1,2,-15,0,0,286,99,14,0.953601602469705,-0.557377357636729,0,27,151,1,0,0,6,-1.63565361400833,0,21,31,247,1,0,0,286,99,14,3.73872824921752,0,0,38,9,23,9,41,1,5,43,10,1,0,3,0,0,0,0,0,0,0,0,0,11,109,6,1,15,2,46,3,4,1,0,48,0.75,0,0,1,2,0,0,0,0,0,0,1,0,"48;42;32","56",NA,122,56,0,2,2,0,0,1,0,0,0,0,0
2024,2,"BUF","REG","MIA",13,19,139,1,0,0,0,0,0,139,86,5,11.1514128833047,4.19787400298649,0,26,108,2,0,0,7,-1.46133185844519,0,13,18,139,1,0,0,139,86,5,11.755551975683,0,0,46,6,20,10,31,0,2,13,5,3,62,4,1,0,0,0,1,1,0,0,0,1,5,6,0,0,1,25,1,2,1,0,43,0.5,0,0,0,1,0,0,0,0,0,1,0,0,"43","45",NA,43,45,0,4,4,0,0,1,0,0,0,0,0
2024,2,"CAR","REG","LAC",18,26,84,0,1,2,-15,0,0,77,62,3,-22.0533718011594,-6.46372918899243,0,18,90,0,0,0,4,-0.515035750460811,0,18,26,84,0,0,0,77,62,3,-17.1262630644507,0,0,33,11,35,1,2,1,1,0,2,1,0,2,0,0,0,0,0,0,1,1,0,9,90,4,1,13,3,81,1,1,0,0,38,1,0,0,1,0,0,0,0,0,0,0,0,0,"38",NA,NA,38,0,0,0,0,0,0,NA,0,0,0,0,0
2024,2,"CHI","REG","HOU",23,37,174,0,2,7,-40,0,0,285,131,7,-21.5613644758641,-1.29815887878923,0,22,71,1,0,0,3,0.861186087538954,0,23,34,174,0,0,0,285,131,7,-5.63552162250855,0,0,37,10,22,6,35,1,3,25,4,0,0,5,0,0,0,0,0,0,1,1,0,9,60,6,1,1,2,50,2,2,0,0,54,1,0,0,0,0,2,0,0,0,0,0,0,0,"53;54",NA,NA,107,0,0,1,1,0,0,1,0,0,0,0,0
2024,2,"CIN","REG","KC",23,36,258,2,0,3,-12,1,1,225,122,12,3.9209349206325,4.93428347741857,0,22,74,0,1,0,7,-1.12288482522126,0,23,34,258,2,1,0,225,122,12,14.6411949311392,0,0,30,9,33,2,14,1,2,14,4,2,12,3,0,0,0,0,1,2,1,1,0,8,79,6,1,9,2,48,4,4,0,0,53,1,0,1,1,1,1,0,0,0,0,0,0,0,"22;33;48;53",NA,NA,156,0,0,1,2,1,0,0.5,0,0,0,0,0
2024,2,"CLE","REG","JAX",22,34,186,0,0,2,-14,0,0,217,67,7,1.24595411384574,-0.458652684182832,0,29,125,1,1,0,9,0.206071164051536,0,22,33,186,0,0,0,217,67,7,5.21113522834706,0,0,33,6,6,9,34,1,4,24,7,0,0,5,0,0,1,0,1,1,0,0,0,13,100,5,3,25,1,25,3,3,0,0,53,1,0,0,1,1,1,0,0,0,0,0,0,0,"53;38;44",NA,NA,135,0,0,1,1,0,0,1,0,0,0,0,0
2024,2,"DAL","REG","NO",28,42,299,1,2,3,-14,1,0,345,162,13,-10.3612684296622,-2.21041735352539,0,21,68,0,0,0,5,-0.550437905127183,0,28,41,299,1,0,0,345,162,13,-5.75146128802928,0,0,29,6,24,2,3,0,1,1,1,1,0,3,0,0,0,0,1,1,0,0,0,4,26,3,0,0,5,121,4,4,0,0,52,1,0,0,1,2,1,0,0,0,0,0,0,0,"52;38;48;40",NA,NA,178,0,0,1,1,0,0,1,0,0,0,0,0
2024,2,"DEN","REG","PIT",20,35,246,0,2,2,-15,0,0,325,127,8,-8.62482516732967,-4.33651127598502,0,19,64,0,0,0,5,-4.98973175702849,0,20,33,246,0,0,0,325,127,8,-3.87354349357161,0,0,34,8,32,4,11,0,2,7,6,0,0,1,0,0,0,0,0,0,0,0,0,9,124,6,3,20,0,0,2,2,0,0,35,1,0,1,1,0,0,0,0,0,0,0,0,0,"35;29",NA,NA,64,0,0,0,0,0,0,NA,0,0,0,0,0
2024,2,"DET","REG","TB",35,56,324,0,2,0,0,0,0,380,141,16,-10.0308452833879,-3.19695152201742,0,27,139,1,0,0,7,4.31675728101982,0,35,53,324,0,0,0,380,141,16,-8.7523429344028,0,0,30,3,13,7,41,2,5,39,5,1,1,4,0,0,0,0,0,0,0,0,0,4,71,6,3,32,3,81,3,3,0,0,35,1,0,1,2,0,0,0,0,0,0,0,0,0,"22;35;32",NA,NA,89,0,0,1,1,0,0,1,0,0,0,0,0
2024,2,"GB","REG","IND",12,14,122,1,0,0,0,0,0,96,58,6,8.98679386245334,20.7785856265288,0,53,261,0,1,1,14,-9.12629529368525,0,12,13,122,1,0,0,96,58,6,9.84148080435046,0,0,25,5,11,4,14,1,1,6,3,3,19,7,0,2,0,0,0,0,0,0,0,6,50,4,1,0,0,0,3,4,1,0,46,0.75,0,0,1,2,0,0,0,0,0,1,0,0,"46;42;34","45",NA,122,45,0,1,1,0,0,1,0,0,0,0,0
2024,2,"HOU","REG","CHI",23,36,260,1,0,3,-25,0,0,277,132,11,1.60885612006667,-3.27029859318453,0,22,75,0,1,1,5,-12.1360850743367,0,23,34,260,1,0,0,277,132,11,6.92114398331553,0,0,39,8,20,9,45,0,7,40,11,2,9,3,0,0,0,0,0,0,0,0,0,12,115,3,3,11,3,98,4,4,0,0,59,1,0,0,0,1,3,0,0,0,0,0,0,0,"56;47;59;53",NA,NA,215,0,0,1,1,0,0,1,0,0,0,0,0
2024,2,"IND","REG","GB",17,34,204,1,3,1,-6,0,0,415,74,10,-8.04049354773438,-8.14640839253703,0,18,140,0,1,0,9,3.0598689914798,0,17,31,204,1,1,0,415,74,10,-5.64704438926843,0,0,41,17,33,6,17,1,0,0,0,0,0,1,0,0,0,0,2,3,1,1,0,3,20,3,0,0,0,0,1,2,1,0,34,0.5,0,0,1,0,0,0,0,0,0,0,1,0,"34","50",NA,34,50,0,1,1,0,0,1,0,0,0,0,0
2024,2,"JAX","REG","CLE",14,30,220,0,0,4,-24,1,0,363,75,9,-6.10134373311974,-9.22446019119686,0,21,127,1,0,0,7,4.1825874998467,0,14,27,220,0,0,0,363,75,9,2.73462621688354,0,0,40,8,22,6,23,1,2,14,8,0,0,4,0,0,0,0,1,1,0,0,0,6,52,6,1,8,1,12,2,3,1,0,25,0.666666666666667,0,2,0,0,0,0,0,0,0,1,0,0,"22;25","43",NA,47,43,0,1,1,0,0,1,0,0,0,0,0
