game_id,week,player_id,player_name,assist_tackles,qb_hits,sacks,solo_tackles,tfls,total_tackles
2025_01_CAR_JAX,1,00-0032889,A.Robinson,0.0,1.0,0.0,4.0,0.0,4.0
2025_01_CAR_JAX,1,00-0033038,E.Murray,4.0,1.0,0.0,3.0,0.0,5.0
2025_01_CAR_JAX,1,00-0033246,J.Mundt,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0033907,D.Smoot,1.0,1.0,1.0,1.0,1.0,1.5
2025_01_CAR_JAX,1,00-0033928,J.Lewis,1.0,1.0,0.0,3.0,0.0,3.5
2025_01_CAR_JAX,1,00-0034413,F.Oluokun,2.0,0.0,0.0,5.0,0.0,6.0
2025_01_CAR_JAX,1,00-0034473,D.Gardeck,0.0,0.0,0.0,2.0,0.0,2.0
2025_01_CAR_JAX,1,00-0035277,M.Jackson,0.0,0.0,0.0,4.0,1.0,4.0
2025_01_CAR_JAX,1,00-0035378,A.Wingard,2.0,0.0,0.0,3.0,0.0,4.0
2025_01_CAR_JAX,1,00-0035642,J.Hines-Allen,0.0,1.0,0.0,0.0,0.0,0.0
2025_01_CAR_JAX,1,00-0035656,K.Saunders,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_CAR_JAX,1,00-0035669,N.Scott,2.0,0.0,0.0,2.0,0.0,3.0
2025_01_CAR_JAX,1,00-0035890,T.Wharton,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0035942,C.Rozeboom,1.0,0.0,0.0,7.0,0.0,7.5
2025_01_CAR_JAX,1,00-0036139,R.Dowdle,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0036220,D.Brown,1.0,0.0,0.0,3.0,0.0,3.5
2025_01_CAR_JAX,1,00-0036903,B.Brown,2.0,0.0,0.0,1.0,0.0,2.0
2025_01_CAR_JAX,1,00-0036944,Ja.Horn,1.0,0.0,0.0,1.0,0.0,1.5
2025_01_CAR_JAX,1,00-0036962,T.Moehrig,2.0,0.0,0.0,7.0,0.0,8.0
2025_01_CAR_JAX,1,00-0036974,T.Campbell,1.0,0.0,0.0,4.0,1.0,4.5
2025_01_CAR_JAX,1,00-0037007,P.Jones,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0037235,T.Walker,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0037244,D.Lloyd,2.0,0.0,0.0,0.0,0.0,1.0
2025_01_CAR_JAX,1,00-0038101,A.Evans,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0038570,V.Miller,1.0,0.0,0.0,1.0,0.0,1.5
2025_01_CAR_JAX,1,00-0038596,An.Johnson,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0038840,B.Tremayne,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0039347,T.Wallace,0.0,0.0,0.0,5.0,0.0,5.0
2025_01_CAR_JAX,1,00-0039353,J.Jones,0.0,0.0,0.0,4.0,0.0,4.0
2025_01_CAR_JAX,1,00-0039356,J.Sanders,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0039380,C.Smith-Wade,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0039601,D.Richardson,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_CAR_JAX,1,00-0040136,P.Umanmielen,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CAR_JAX,1,00-0040718,T.Hunter,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_CIN_CLE,1,00-0030757,M.Pennel,1.0,0.0,0.0,0.0,1.0,0.5
2025_01_CIN_CLE,1,00-0033868,M.Garrett,0.0,3.0,2.0,5.0,4.0,5.0
2025_01_CIN_CLE,1,00-0033935,T.Hendrickson,0.0,3.0,1.0,3.0,1.0,3.0
2025_01_CIN_CLE,1,00-0034754,O.Burks,1.0,0.0,0.0,1.0,1.0,1.5
2025_01_CIN_CLE,1,00-0034800,B.Hill,3.0,1.0,1.0,3.0,1.0,4.5
2025_01_CIN_CLE,1,00-0034856,D.Ward,0.0,0.0,0.0,2.0,0.0,2.0
2025_01_CIN_CLE,1,00-0035525,D.Bush,1.0,1.0,0.0,3.0,1.0,3.5
2025_01_CIN_CLE,1,00-0036199,G.Stone,2.0,0.0,0.0,1.0,0.0,2.0
2025_01_CIN_CLE,1,00-0036282,G.Delpit,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CIN_CLE,1,00-0036294,L.Wilson,1.0,0.0,0.0,4.0,0.0,4.5
2025_01_CIN_CLE,1,00-0036407,J.Jeudy,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CIN_CLE,1,00-0036642,T.Slaton,1.0,1.0,0.0,0.0,0.0,0.5
2025_01_CIN_CLE,1,00-0036996,G.Newsome,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_CIN_CLE,1,00-0037251,A.Wright,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_CIN_CLE,1,00-0037267,J.Ford,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CIN_CLE,1,00-0037743,D.Hill,3.0,0.0,0.0,4.0,0.0,5.5
2025_01_CIN_CLE,1,00-0037752,T.Anderson,1.0,0.0,0.0,2.0,0.0,2.5
2025_01_CIN_CLE,1,00-0037753,C.Taylor-Britt,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_CIN_CLE,1,00-0038546,M.Murphy,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CIN_CLE,1,00-0038549,D.Turner,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_CIN_CLE,1,00-0038560,J.Battle,5.0,0.0,0.0,4.0,0.0,6.5
2025_01_CIN_CLE,1,00-0038574,I.McGuire,2.0,2.0,1.0,4.0,2.0,5.0
2025_01_CIN_CLE,1,00-0038711,M.Diabate,1.0,0.0,0.0,2.0,0.0,2.5
2025_01_CIN_CLE,1,00-0038715,R.Hickman,2.0,0.0,0.0,3.0,0.0,4.0
2025_01_CIN_CLE,1,00-0038890,S.Heyward,1.0,0.0,0.0,0.0,0.0,0.5
2025_01_CIN_CLE,1,00-0039375,J.Newton,0.0,0.0,0.0,3.0,0.0,3.0
2025_01_CIN_CLE,1,00-0039417,M.Harden,0.0,0.0,0.0,2.0,0.0,2.0
2025_01_CIN_CLE,1,00-0039908,K.Jenkins,0.0,0.0,0.0,2.0,0.0,2.0
2025_01_CIN_CLE,1,00-0040157,B.Carter,1.0,0.0,0.0,1.0,0.0,1.5
2025_01_CIN_CLE,1,00-0040208,T.Brooks,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CIN_CLE,1,00-0040255,A.Huntington,1.0,0.0,0.0,1.0,0.0,1.5
2025_01_CIN_CLE,1,00-0040263,D.McMillon,0.0,0.0,0.0,1.0,0.0,1.0
2025_01_CIN_CLE,1,00-0040379,W.Wagner,1.0,0.0,0.0,0.0,0.0,0.5
