game_id,week,player_id,player_name,team,rz_rush_att,rz_rush_tds,rz_rush_yards,rz_targets,rz_receptions,rz_rec_tds,rz_rec_yards,rz_opportunities,rz_total_tds,rz_opportunities_avg,rz_total_tds_avg,rz_rush_att_avg,rz_targets_avg
2025_11_SEA_LA,11,00-0031381,D.Adams,LA,0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,3.142857142857143,1.1428571428571428,0.0,3.142857142857143
2025_02_TB_HOU,2,00-0031408,M.Evans,TB,0,0.0,0.0,3.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0
2025_03_NYJ_TB,3,00-0031408,M.Evans,TB,0,0.0,0.0,2.0,1.0,1.0,5.0,2.0,1.0,3.0,0.0,0.0,3.0
2025_11_GB_NYG,11,00-0031503,J.Winston,NYG,1,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2025_04_CAR_NE,4,00-0031588,S.Diggs,NE,0,0.0,0.0,2.0,2.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
2025_05_NE_BUF,5,00-0031588,S.Diggs,NE,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2025_06_NE_NO,6,00-0031588,S.Diggs,NE,0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,1.5,0.0,0.0,1.5
2025_07_NE_TEN,7,00-0031588,S.Diggs,NE,0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333
2025_08_CLE_NE,8,00-0031588,S.Diggs,NE,0,0.0,0.0,3.0,2.0,1.0,9.0,3.0,1.0,1.25,0.0,0.0,1.25
2025_09_ATL_NE,9,00-0031588,S.Diggs,NE,0,0.0,0.0,1.0,1.0,1.0,11.0,1.0,1.0,1.6,0.2,0.0,1.6
2025_10_NE_TB,10,00-0031588,S.Diggs,NE,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,0.3333333333333333,0.0,1.5
2025_04_NYJ_MIA,4,00-0031610,D.Waller,MIA,0,0.0,0.0,2.0,2.0,2.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0
2025_05_MIA_CAR,5,00-0031610,D.Waller,MIA,0,0.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,0.0,2.0
2025_06_LAC_MIA,6,00-0031610,D.Waller,MIA,0,0.0,0.0,1.0,1.0,1.0,7.0,1.0,1.0,1.5,1.5,0.0,1.5
2025_04_CHI_LV,4,00-0031687,R.Mostert,LV,1,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2025_05_LV_IND,5,00-0031687,R.Mostert,LV,1,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
2025_06_TEN_LV,6,00-0031687,R.Mostert,LV,2,0.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0
2025_05_LV_IND,5,00-0032104,A.Abdullah,IND,2,1.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
