player_id,player_name,team,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,games_played
00-0026158,J.Flacco,CIN,7,2025,2025_07_PIT_CIN,RB,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,10
00-0026158,J.Flacco,CIN,8,2025,2025_08_NYJ_CIN,QB,223.0,2.0,21.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,34.4375,8.333333333333334,0.375,0.0,12.125,28.333333333333332,0.0625,0.0,1.8125,2.0,7.0625,3.0,11
00-0026158,J.Flacco,CIN,8,2025,2025_08_NYJ_CIN,RB,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,38.526315789473685,60.333333333333336,0.42105263157894735,0.6666666666666666,11.789473684210526,10.0,0.10526315789473684,0.3333333333333333,1.6842105263157894,1.0,7.368421052631579,9.0,12
00-0026158,J.Flacco,CIN,9,2025,2025_09_CHI_CIN,QB,470.0,4.0,31.0,51.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127.33333333333333,127.33333333333333,1.3333333333333333,1.3333333333333333,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,13
00-0026158,J.Flacco,CIN,9,2025,2025_09_CHI_CIN,RB,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,107.625,108.66666666666667,0.875,0.6666666666666666,9.75,13.333333333333334,0.125,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.125,4.666666666666667,14
00-0026158,J.Flacco,CIN,11,2025,2025_11_CIN_PIT,QB,199.0,1.0,23.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,16.066666666666666,9.0,0.06666666666666667,0.0,11.0,16.333333333333332,0.13333333333333333,0.0,0.8666666666666667,1.3333333333333333,4.466666666666667,3.3333333333333335,15
00-0026158,J.Flacco,CIN,11,2025,2025_11_CIN_PIT,RB,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,19.333333333333332,35.666666666666664,0.1111111111111111,0.3333333333333333,10.166666666666666,6.0,0.1111111111111111,0.0,0.8333333333333334,0.6666666666666666,5.5,10.666666666666666,16
00-0026498,M.Stafford,LA,1,2025,2025_01_HOU_LA,QB,245.0,1.0,21.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,106.3125,94.66666666666667,0.6875,1.3333333333333333,5.0625,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6875,2.3333333333333335,1
00-0026498,M.Stafford,LA,1,2025,2025_01_HOU_LA,RB,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,4.0,0.0,0.0,0.0,0,102.44444444444444,47.666666666666664,0.6111111111111112,0.0,4.888888888888889,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2.6666666666666665,2
00-0026498,M.Stafford,LA,2,2025,2025_02_LA_TEN,QB,298.0,2.0,23.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,15.666666666666666,15.666666666666666,0.0,0.0,3.3333333333333335,3.3333333333333335,0.0,0.0,0.6666666666666666,0.6666666666666666,4.333333333333333,4.333333333333333,3
