player_id,player_name,team,opponent,week,season,game_id,position,passing_yards,passing_tds,completions,attempts,interceptions,rushing_yards,rushing_tds,carries,receiving_yards,receiving_tds,receptions,targets,season_avg_passing_yards,l3_avg_passing_yards,season_avg_passing_tds,l3_avg_passing_tds,season_avg_rushing_yards,l3_avg_rushing_yards,season_avg_rushing_tds,l3_avg_rushing_tds,season_avg_receiving_yards,l3_avg_receiving_yards,season_avg_receiving_tds,l3_avg_receiving_tds,season_avg_receptions,l3_avg_receptions,season_avg_carries,l3_avg_carries,season_avg_completions,l3_avg_completions,season_avg_attempts,l3_avg_attempts,season_avg_targets,l3_avg_targets,season_avg_interceptions,l3_avg_interceptions,games_played
00-0026498,M.Stafford,LA,SF,10,2025,2025_10_LA_SF,QB,280.0,4.0,24.0,37.0,0.0,-3.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.875,12.666666666666666,0.25,0.3333333333333333,1.75,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,2.75,4.0,0.0,0.0,9
00-0026498,M.Stafford,LA,SEA,11,2025,2025_11_SEA_LA,QB,130.0,2.0,15.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,39.0,39.0,0.0,0.0,7.5,7.5,0.0,0.0,1.0,1.0,5.5,5.5,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,10
00-0027973,A.Dalton,CAR,ATL,3,2025,2025_03_ATL_CAR,RB,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,66.2,97.66666666666667,0.4,0.3333333333333333,20.7,24.0,0.2,0.3333333333333333,2.8,2.6666666666666665,17.5,20.666666666666668,0.0,0.0,0.0,0.0,3.3,3.3333333333333335,0.0,0.0,1
00-0027973,A.Dalton,CAR,NE,4,2025,2025_04_CAR_NE,QB,58.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,69.5,69.5,1.0,1.0,7.0,7.0,0.0,0.0,1.5,1.5,15.0,15.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2
00-0027973,A.Dalton,CAR,NYJ,7,2025,2025_07_CAR_NYJ,QB,60.0,0.0,4.0,8.0,0.0,-2.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.6666666666666666,0.6666666666666666,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,3
00-0027973,A.Dalton,CAR,BUF,8,2025,2025_08_BUF_CAR,QB,175.0,0.0,16.0,31.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.666666666666667,5.666666666666667,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,4
00-0028118,T.Taylor,NYJ,BUF,2,2025,2025_02_BUF_NYJ,QB,56.0,1.0,7.0,13.0,0.0,21.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-0.75,-1.0,0.0,0.0,25.0,25.0,0.5,0.3333333333333333,3.0,2.6666666666666665,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,3.75,3.6666666666666665,0.0,0.0,1
00-0028118,T.Taylor,NYJ,TB,3,2025,2025_03_NYJ_TB,QB,197.0,2.0,26.0,40.0,1.0,48.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,75.0,75.0,1.0,1.0,2.0,2.0,0.0,0.0,0.5,0.5,21.0,21.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2
00-0028118,T.Taylor,NYJ,CAR,7,2025,2025_07_CAR_NYJ,QB,126.0,0.0,10.0,25.0,2.0,11.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.5,0.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,3
00-0029263,R.Wilson,NYG,WAS,1,2025,2025_01_NYG_WAS,QB,168.0,0.0,17.0,39.0,0.0,44.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1
