"season","season_type","week","player_display_name","player_position","team_abbr","avg_cushion","avg_separation","avg_intended_air_yards","percent_share_of_intended_air_yards","receptions","targets","catch_percentage","yards","rec_touchdowns","avg_yac","avg_expected_yac","avg_yac_above_expectation","player_gsis_id","player_first_name","player_last_name","player_jersey_number","player_short_name"
2024,"REG",11,"Xavier Worthy","WR","KC",3.886,4.03578543461959,14.32,34.0725230798515,4,5,80,61,1,7.1325,5.45886315421751,1.67363684578249,"00-0039894","Xavier","Worthy",1,"X.Worthy"
2024,"REG",11,"Rome Odunze","WR","CHI",3.80375,2.45437656141642,10.881,53.0392395807946,6,10,60,65,0,3.47,5.59817404923539,-2.12817404923539,"00-0039919","Rome","Odunze",15,"R.Odunze"
2024,"REG",11,"Jauan Jennings","WR","SF",3.574,2.56381384073037,7.21,48.6057486057486,10,11,90.9090909090909,91,1,1.84,1.5548816298696,0.285118370130401,"00-0036259","Bennie","Jennings",15,"J.Jennings"
2024,"REG",11,"Josh Downs","WR","IND",3.25,3.33028068880846,13.688,27.2430538969827,5,5,100,84,1,3.112,3.77205871688893,-0.660058716888933,"00-0038997","Joshua","Downs",1,"J.Downs"
2024,"REG",12,"Travis Kelce","TE","KC",9.68666666666667,3.77975192510873,5.9175,21.0213143872114,6,8,75,62,0,6.315,5.01261535480902,1.30238464519097,"00-0030506","Travis","Kelce",87,"T.Kelce"
2024,"REG",12,"Zay Flowers","WR","BAL",9.55142857142857,4.07728543748809,11.8575,40.4969262295082,5,8,62.5,62,0,5.22,2.66395417984842,2.55604582015158,"00-0039064","Xavien","Flowers",4,"Z.Flowers"
2024,"REG",12,"Terry McLaurin","WR","WAS",9.018,2.7273769770906,13.73,24.2365401588703,5,6,83.3333333333333,102,1,11.552,4.13100007175742,7.42099992824258,"00-0035659","Terry","McLaurin",17,"T.McLaurin"
2024,"REG",12,"Amon-Ra St. Brown","WR","DET",8.62571428571428,3.13770780293618,10.1657142857143,36.5710761640456,6,7,85.7142857142857,62,0,3.845,4.52264599031275,-0.677645990312747,"00-0036963","Amon-Ra","St. Brown",14,"A.St. Brown"
2024,"REG",12,"CeeDee Lamb","WR","DAL",8.618,3.60597509259185,3.935,23.6407329528387,10,12,83.3333333333333,67,0,2.762,2.69657637512215,0.0654236248778459,"00-0036358","Cedarian","Lamb",88,"C.Lamb"
2024,"REG",12,"Nick Westbrook-Ikhine","WR","TEN",8.552,2.5094410264292,22.628,54.6147905000965,2,5,40,48,1,2.935,2.67542983193878,0.259570168061224,"00-0036182","Nicholas","Westbrook-Ikhine",15,"N.Westbrook-Ikhine"
2024,"REG",12,"Marvin Mims Jr.","WR","DEN",8.13,7.11039003884509,-4.546,-7.99591937242762,3,5,60,44,0,19.5033333333333,14.6311551443529,4.87217818898042,"00-0038976","Marvin","Mims",19,"M.Mims"
