season,week,team,position,full_name,gsis_id,report_status,report_primary_injury,practice_status,player,injury_status
2020.0,1.0,DET,S,C.J. Moore,00-0035327,Out,Hamstring,Did Not Participate In Practice,C.J. Moore,OUT
2020.0,1.0,DET,T,Halapoulivaati Vaitai,00-0032785,Out,Foot,Did Not Participate In Practice,Halapoulivaati Vaitai,OUT
2020.0,1.0,DET,WR,Kenny Golladay,00-0033932,Doubtful,Hamstring,Did Not Participate In Practice,Kenny Golladay,DOUBTFUL
2020.0,1.0,DET,WR,Danny Amendola,00-0026035,Questionable,Hamstring,Limited Participation in Practice,Danny Amendola,QUESTIONABLE
2020.0,1.0,DET,DE,Da'Shawn Hand,00-0034371,Questionable,Groin,Limited Participation in Practice,Da'Shawn Hand,QUESTIONABLE
2020.0,1.0,DET,CB,Jeff Okudah,00-0036274,Questionable,Hamstring,Limited Participation in Practice,Jeff Okudah,QUESTIONABLE
2020.0,1.0,DET,LB,Julian Okwara,00-0036249,Questionable,Knee,Limited Participation in Practice,Julian Okwara,QUESTIONABLE
2020.0,1.0,DET,CB,Darryl Roberts,00-0031628,Questionable,Groin,Limited Participation in Practice,Darryl Roberts,QUESTIONABLE
2020.0,1.0,GB,LB,Oren Burks,00-0034754,,,Full Participation in Practice,Oren Burks,
2020.0,1.0,GB,TE,Marcedes Lewis,00-0024243,,,Full Participation in Practice,Marcedes Lewis,
2020.0,1.0,GB,LB,Randy Ramsey,00-0035085,Out,Groin,Did Not Participate In Practice,Randy Ramsey,OUT
2020.0,1.0,GB,G,Billy Turner,00-0031433,Doubtful,Knee,Did Not Participate In Practice,Billy Turner,DOUBTFUL
2020.0,1.0,GB,DE,Montravius Adams,00-0033929,Doubtful,Toe,Limited Participation in Practice,Montravius Adams,DOUBTFUL
2020.0,1.0,GB,S,Raven Greene,00-0034179,Questionable,Quadricep,Limited Participation in Practice,Raven Greene,QUESTIONABLE
2020.0,1.0,HOU,CB,Phillip Gaines,00-0031015,,,Full Participation in Practice,Phillip Gaines,
2020.0,1.0,HOU,CB,Lonnie Johnson,00-0035244,,,Full Participation in Practice,Lonnie Johnson,
2020.0,1.0,HOU,DE,J.J. Watt,00-0027949,,,Full Participation in Practice,J.J. Watt,
2020.0,1.0,HOU,WR,Brandin Cooks,00-0031236,Questionable,Quadricep,Limited Participation in Practice,Brandin Cooks,QUESTIONABLE
2020.0,1.0,HOU,RB,Cullen Gillaspia,00-0035304,Questionable,Hamstring,Limited Participation in Practice,Cullen Gillaspia,QUESTIONABLE
2020.0,1.0,HOU,LB,Jonathan Greenard,00-0036224,Questionable,Ankle,Limited Participation in Practice,Jonathan Greenard,QUESTIONABLE
2020.0,1.0,IND,DT,Denico Autry,00-0031254,,,Did Not Participate In Practice,Denico Autry,
2020.0,1.0,IND,T,Anthony Castonzo,00-0027960,,,Did Not Participate In Practice,Anthony Castonzo,
2020.0,1.0,IND,WR,T.Y. Hilton,00-0029608,,,Did Not Participate In Practice,T.Y. Hilton,
2020.0,1.0,IND,DE,Justin Houston,00-0028008,,,Did Not Participate In Practice,Justin Houston,
2020.0,1.0,IND,C,Ryan Kelly,00-0032383,,,Did Not Participate In Practice,Ryan Kelly,
2020.0,1.0,IND,G,Quenton Nelson,00-0034342,,,Full Participation in Practice,Quenton Nelson,
2020.0,1.0,IND,WR,Dezmon Patmon,00-0036228,,,Full Participation in Practice,Dezmon Patmon,
2020.0,1.0,IND,S,Julian Blackmon,00-0036253,Out,Knee,Limited Participation in Practice,Julian Blackmon,OUT
2020.0,1.0,IND,LB,Matthew Adams,00-0034424,Questionable,Ankle,Full Participation in Practice,Matthew Adams,QUESTIONABLE
2020.0,1.0,JAX,RB,Devine Ozigbo,00-0035184,,,Did Not Participate In Practice,Devine Ozigbo,
2020.0,1.0,JAX,TE,Tyler Eifert,00-0030549,,,Full Participation in Practice,Tyler Eifert,
2020.0,1.0,JAX,DE,Adam Gotsis,00-0033064,,,Full Participation in Practice,Adam Gotsis,
2020.0,1.0,JAX,TE,James O'Shaughnessy,00-0031951,,,Full Participation in Practice,James O'Shaughnessy,
2020.0,1.0,JAX,CB,Josiah Scott,00-0036303,,,Full Participation in Practice,Josiah Scott,
2020.0,1.0,JAX,TE,Tyler Davis,00-0036250,Out,Knee,Did Not Participate In Practice,Tyler Davis,OUT
2020.0,1.0,KC,TE,Travis Kelce,00-0030506,,,Full Participation in Practice,Travis Kelce,
2020.0,1.0,KC,DT,Derrick Nnadi,00-0034818,,,Full Participation in Practice,Derrick Nnadi,
2020.0,1.0,KC,DE,Alex Okafor,00-0030503,,,Full Participation in Practice,Alex Okafor,
2020.0,1.0,KC,S,Juan Thornhill,00-0035625,,,Full Participation in Practice,Juan Thornhill,
2020.0,1.0,KC,RB,Darrel Williams,00-0034301,,,Full Participation in Practice,Darrel Williams,
2020.0,1.0,KC,TE,Deon Yelder,00-0034319,,,Full Participation in Practice,Deon Yelder,
2020.0,1.0,LA,RB,Darrell Henderson,00-0035664,,,Full Participation in Practice,Darrell Henderson,
2020.0,1.0,LA,T,Andrew Whitworth,00-0024270,,,Full Participation in Practice,Andrew Whitworth,
2020.0,1.0,LAC,QB,Tyrod Taylor,00-0028118,,,Full Participation in Practice,Tyrod Taylor,
2020.0,1.0,LAC,C,Mike Pouncey,00-0027953,Out,Hip,Did Not Participate In Practice,Mike Pouncey,OUT
2020.0,1.0,LAC,G,Trai Turner,00-0031362,Questionable,Knee,Did Not Participate In Practice,Trai Turner,QUESTIONABLE
2020.0,1.0,LAC,TE,Virgil Green,00-0028142,Questionable,Quadricep,Full Participation in Practice,Virgil Green,QUESTIONABLE
2020.0,1.0,LAC,T,Bryan Bulaga,00-0027875,Questionable,Hamstring,Limited Participation in Practice,Bryan Bulaga,QUESTIONABLE
2020.0,1.0,LAC,WR,Mike Williams,00-0033536,Questionable,Shoulder,Limited Participation in Practice,Mike Williams,QUESTIONABLE
2020.0,1.0,LV,C,Rodney Hudson,00-0027993,,,Did Not Participate In Practice,Rodney Hudson,
2020.0,1.0,LV,TE,Jason Witten,00-0022127,,,Did Not Participate In Practice,Jason Witten,
2020.0,1.0,LV,WR,Nelson Agholor,00-0031549,,,Full Participation in Practice,Nelson Agholor,
2020.0,1.0,LV,CB,Damon Arnette,00-0036359,,,Full Participation in Practice,Damon Arnette,
2020.0,1.0,LV,T,Trenton Brown,00-0032071,,,Full Participation in Practice,Trenton Brown,
2020.0,1.0,LV,DT,Maliek Collins,00-0033131,,,Full Participation in Practice,Maliek Collins,
2020.0,1.0,LV,WR,Bryan Edwards,00-0036365,,,Full Participation in Practice,Bryan Edwards,
2020.0,1.0,LV,TE,Foster Moreau,00-0034981,,,Full Participation in Practice,Foster Moreau,
2020.0,1.0,LV,LB,Nicholas Morrow,00-0033445,,,Full Participation in Practice,Nicholas Morrow,
2020.0,1.0,LV,G,Richie Incognito,00-0023516,,,Limited Participation in Practice,Richie Incognito,
2020.0,1.0,MIA,TE,Mike Gesicki,00-0034829,,,Full Participation in Practice,Mike Gesicki,
2020.0,1.0,MIA,CB,Xavien Howard,00-0033050,,,Full Participation in Practice,Xavien Howard,
2020.0,1.0,MIA,CB,Byron Jones,00-0032239,,,Full Participation in Practice,Byron Jones,
2020.0,1.0,MIA,WR,DeVante Parker,00-0031547,,,Full Participation in Practice,DeVante Parker,
2020.0,1.0,MIA,QB,Tua Tagovailoa,00-0036212,,,Full Participation in Practice,Tua Tagovailoa,
2020.0,1.0,MIA,LB,Kyle Van Noy,00-0031360,,,Full Participation in Practice,Kyle Van Noy,
2020.0,1.0,MIA,WR,Preston Williams,00-0035350,,,Full Participation in Practice,Preston Williams,
2020.0,1.0,MIA,S,Clayton Fejedelem,00-0032807,Doubtful,Pectoral,Limited Participation in Practice,Clayton Fejedelem,DOUBTFUL
2020.0,1.0,NE,WR,Julian Edelman,00-0027150,,,Limited Participation in Practice,Julian Edelman,
